City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Riyadh,SA,89.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
505,Mana,GF,80.11,overcast clouds,5.6592,-53.7767,LE SAMANA
507,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
509,Inyonga,TZ,81.21,broken clouds,-6.7167,32.0667,Eden Rock Lodge
513,Rayong,TH,83.08,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
514,Laibin,CN,76.84,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
515,Losal,IN,75.63,clear sky,27.4,74.9167,MUGAL ENTERPRISES LOSAL
525,Santa Rosa,PH,84.18,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
527,Aguada De Pasajeros,CU,76.23,moderate rain,22.385,-80.8508,CASA MAMÁ
528,Maumere,ID,81.59,overcast clouds,-8.6199,122.2111,Sylvia Hotel
531,Do Gonbadan,IR,75.29,broken clouds,30.3586,50.7981,مسافرخانه شادی
533,Santa Fe,AR,79.02,overcast clouds,-31.6333,-60.7,Conquistador Hotel
535,Akonolinga,CM,80.96,light rain,3.7667,12.25,Le Diamant De Mireille
538,Salinopolis,BR,84.96,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
543,Mbandaka,CD,77.74,moderate rain,0.0487,18.2603,Guest House Epervier
544,Oussouye,SN,89.78,overcast clouds,12.485,-16.5469,Auberge du Routard
547,Porto Novo,BJ,85.87,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
548,Salalah,OM,86.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
549,Marrakesh,MA,77.07,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
550,Faanui,PF,77.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
551,Benguela,AO,78.37,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
552,Bowen,AU,75.02,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
557,Sinnamary,GF,82.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
565,Saint-Pierre,RE,75.9,scattered clouds,-21.3393,55.4781,Alize Plage
571,Antsohihy,MG,89.17,clear sky,-14.8796,47.9875,Hotel de Ville
574,Yulara,AU,89.15,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
577,Arawa,PG,77.14,light rain,-6.2132,155.5367,Coastline Guest House
578,Taoudenni,ML,88.92,overcast clouds,22.6783,-3.9836,
579,Mathathane,BW,82.08,overcast clouds,-22.2687,28.7495,Selepswe Resort
580,Bandarbeyla,SO,81.45,scattered clouds,9.4942,50.8122,JABIR HOTEL
583,Bafia,CM,83.14,light rain,4.75,11.2333,Hotel born beyem
585,Teknaf,BD,75.69,clear sky,20.8624,92.3058,Forestry Guesthouse
587,San Policarpo,PH,81.7,scattered clouds,12.1791,125.5072,Agapita M. Nicart
592,Nishihara,JP,76.28,mist,26.1842,127.7558,Minshuku Agaihama
596,Cuamba,MZ,86.2,broken clouds,-14.8031,36.5372,Hotel Vision
600,Timizart,DZ,76.37,overcast clouds,36.8,4.2667,TOUATI LOTFI
603,Pilar Do Sul,BR,77.74,clear sky,-23.8131,-47.7164,HOTEL CENTRAL
605,Tiznit,MA,79.56,clear sky,29.5833,-9.5,
609,Simoes,BR,89.47,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
614,Khirkiya,IN,75.94,clear sky,22.1674,76.8605,Sanjay Industries
616,Sembakung,ID,75.85,overcast clouds,3.8167,117.25,
619,Hong Gai,VN,76.91,clear sky,20.956,107.0946,Hạ Long DC Hotel
621,Nacala,MZ,85.32,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
622,Beloha,MG,86.7,broken clouds,-25.1667,45.05,
627,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
630,Ilheus,BR,78.62,broken clouds,-14.7889,-39.0494,Barravento Hotel
631,Bom Jesus,BR,89.22,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
637,Bubaque,GW,80.42,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
638,Papara,BR,86.95,overcast clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
640,Kununurra,AU,87.78,light rain,-15.7667,128.7333,Hotel Kununurra
641,Jardim,BR,84.15,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
642,Begoro,GH,84.85,light rain,6.3871,-0.3774,Akwanserem
643,Ipameri,BR,85.95,overcast clouds,-17.7219,-48.1597,Real Hotel
644,Davila,PH,80.58,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
647,Quatre Cocos,MU,78.1,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
651,Biak,ID,79.16,overcast clouds,-0.9131,122.8766,Penginapan Kim
653,Maraa,BR,78.19,overcast clouds,-1.8333,-65.3667,
655,Carinhanha,BR,89.46,overcast clouds,-14.3047,-43.765,Hotel União
657,High Rock,BS,77.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
659,Doha,QA,89.49,few clouds,25.2867,51.5333,Mövenpick Doha
660,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
